aea_plant_id,eia_plant_id,nameplate_capacity_mw,fuel_type_code,fuel_type_name,year
163,7462,1.5,DFO,Distillate Fuel Oil,2021
164,7463,2.0,DFO,Distillate Fuel Oil,2021
164,7463,0.45,WAT,Water at Hydroelectric Turbine,2021
165,7464,3.1,DFO,Distillate Fuel Oil,2021
165,7464,0.5,WAT,Water at Hydroelectric Turbine,2021
166,7467,0.55,WAT,Water at Hydroelectric Turbine,2021
169,,0.37,DFO,Distillate Fuel Oil,2021
169,,0.277,MWH,Electricity used for Energy Storage,2021
169,,0.1,WND,Wind,2021
169,,0.0485,SUN,Solar,2021
171,6580,5.4,WAT,Water at Hydroelectric Turbine,2021
172,84,4.2,WAT,Water at Hydroelectric Turbine,2021
173,85,25.9,DFO,Distillate Fuel Oil,2021
174,6581,2.1,WAT,Water at Hydroelectric Turbine,2021
175,70,22.6,WAT,Water at Hydroelectric Turbine,2021
