fips_code,community_name,tank_farm_id,uscg_id,aea_id,entity_name,number_of_tanks,total_capacity,gasoline_capacity,diesel_capacity,av_gas_capacity,jet_fuel_capacity,other_fuel_capacity,barge_delivery,plane_delivery,road_delivery,inspected_by_uscg,fuel_supplier,recommendations_by_aea,distance_to_barge_mooring,tank_farm_evaluation_id,source,report,start_year,end_year,latitude,longitude
0282750,Wainwright,512,,456-BF-02,City of Wainwright,,2400,,,,,,t,f,f,f,,,,975,AEA,2015 Assessment,2015,2015,70.6383056640625,-160.03277587890625
0282750,Wainwright,,,,City of Wainwright,1,1200,,1200,,,,f,f,t,f,,,,,DEC,,,,70.6383056640625,-160.03302001953125
0282750,Wainwright,515,ANC-W-001,,North Slope Borough,,500000,,,,,,t,f,f,t,,,,978,AEA,2015 Assessment,2015,2015,70.64007568359375,-160.010986328125
0282750,Wainwright,514,,456-BF-07,North Slope Borough,1,2000,,2000,,,,t,f,f,f,Olgoonik Corporation,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,1096,AEA,2015 Assessment,2015,2015,70.64288330078125,-160.0216064453125
0282750,Wainwright,510,,456-BF-03,North Slope Borough,1,7000,,7000,,,,t,f,f,f,Olgoonik Corporation,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,1094,AEA,2015 Assessment,2015,2015,70.63787841796875,-160.03289794921875
0282750,Wainwright,509,,456-BF-04,North Slope Borough,1,6000,,6000,,,,t,f,f,f,Olgoonik Corporation,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,1093,AEA,2015 Assessment,2015,2015,70.6376953125,-160.02960205078125
0282750,Wainwright,508,,456-BF-01,North Slope Borough,1,10000,,10000,,,,t,f,f,f,Olgoonik Corporation,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,1092,AEA,2015 Assessment,2015,2015,70.6370849609375,-160.02880859375
0282750,Wainwright,,,,North Slope Borough School District,1,10000,,10000,,,,f,f,t,f,,,,,DEC,,,,70.636474609375,-160.03167724609375
0282750,Wainwright,506,,,North Slope Borough School District,,908000,,,,,,t,f,f,f,,,,969,AEA,2015 Assessment,2015,2015,70.6361083984375,-160.03369140625
0282750,Wainwright,,,,Olgoonik Corporation,2,2900,,2900,,,,f,f,t,f,,,,,DEC,,,,70.6376953125,-160.0322265625
0282750,Wainwright,511,,,Olgoonik Corporation,1,1700,,1700,,,,t,f,f,f,Olgoonik Corporation,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,1095,AEA,2015 Assessment,2015,2015,70.6376953125,-160.0322265625
0282750,Wainwright,403,,249-BF-02,SKW,,200000,,,,,,t,f,f,f,,,,934,AEA,2015 Assessment,2015,2015,70.12872314453125,-143.62200927734375
0282750,Wainwright,,,,Wainwright Power Plant Tank Farm,2,500000,,500000,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,70.64223361852,-160.022432532612
0282750,Wainwright,,,,Wainwright Tank Farm,6,908000,154000,754000,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,70.6397097797901,-160.01079013003
0282860,Wales,,,,AVEC Power Plant,8,71375,,71375,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,65.6087015081342,-168.090406444921
0282860,Wales,179,ANC-W-003,,Alaska Village Electric Cooperative,10,74530,,74530,,,,t,f,f,t,"Ruby Marine, Crowley Marine","Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",50,119,AEA,2016 Letter Report,2016,2016,67.08770751953125,-157.856689453125
0282860,Wales,,,458-BF-07,Alaska Village Electric Cooperative,7,64800,,64800,,,,,,,f,,,,,DEC,,,,65.60870361328125,-168.09088134765625
0282860,Wales,,ANC-W-004,458-BF-04,Bering Strait School District,4,48400,,48400,,,,t,f,f,t,,,,,DEC,,,,65.60467529296875,-168.08612060546875
0282860,Wales,520,,458-BF-06,City of Wales WTP,1,10700,,10700,,,,t,f,f,f,Crowley Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",300,283,AEA,2015 Assessment,2015,2015,65.6085205078125,-168.09100341796875
0282860,Wales,,,,Native Village of Wales,7,97500,22500,75000,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,65.6082975685657,-168.084445455999
0282860,Wales,519,ANC-W-006,,Native Village of Wales Native Store,6,101100,21000,80100,,,,t,f,f,t,Crowley Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",400,282,AEA,2015 Assessment,2015,2015,65.6060791015625,-168.0875244140625
0282860,Wales,,,,Wales School Tank Farm,4,48400,,48400,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,65.6046964614229,-168.086064365666
0283080,Wasilla,,,,Alaska Waste,1,8000,,8000,,,,f,f,t,f,,,,,DEC,,,,61.61932373046875,-149.3887939453125
0283080,Wasilla,,,,City of Wasilla,3,4500,1000,3500,,,,f,f,t,f,,,,,DEC,,,,61.58172607421875,-149.44439697265625
0283080,Wasilla,,,,Crowley,1,6000,,,,6000,,f,f,t,f,,,,,DEC,,,,61.5706787109375,-149.54791259765625
0283080,Wasilla,,,,Lowe's,1,1500,,1500,,,,f,f,t,f,,,,,DEC,,,,61.57391357421875,-149.38568115234375
0283080,Wasilla,,,,Rain Proof Roofing,1,1000,1000,,,,,,,,f,,,,,DEC,,,,61.58990478515625,-149.4827880859375
0283080,Wasilla,,,462-BF-02,State of Alaska Department of Corrections,3,3000,1000,2000,,,,f,f,t,f,,,,,DEC,,,,61.41668701171875,-150.0791015625
0283080,Wasilla,,,462-BF-04,State of Alaska Department of Corrections,4,77000,2000,75000,,,,f,f,t,f,,,,,DEC,,,,61.36029052734375,-150.01251220703125
0284000,Whale Pass,,,462-BF-01,Alaska Power & Telephone,1,10000,,10000,,,,f,f,t,f,,,,,DEC,,,,56.12030029296875,-133.13250732421875
0284000,Whale Pass,,,,City of Whale Pass Fleet Dispensing,1,564,,564,,,,f,f,t,,Petro Marine,,,,AEA,2024 Assessment,2023,2024,56.114946681,-133.121100895
0284000,Whale Pass,,,,Last Chance Gas Station,2,5207,3227,1980,,,,f,f,t,,Petro Marine,,,,AEA,2024 Assessment,2023,2024,56.120948689,-133.129434049
0284070,White Mountain,706,,417-BF-02,ADOT,,3000,,,,,,t,f,f,f,,,,793,AEA,,,,63.51568603515625,-162.28558349609375
0284070,White Mountain,,ANC-W-009,462-BF-06,Bering Strait School District,1,4000,,4000,,,,t,f,f,t,,,,,DEC,,,,64.6787109375,-163.3961181640625
0284070,White Mountain,,ANC-W-008,,City of White Mountain,,,,,,,,,,,t,,,,,,,,,64.6812744140625,-163.410400390625
0284070,White Mountain,738,,,Tom Gray Reindeer Farm,,4900,,,,,,t,f,f,f,,,,796,AEA,,,,64.68389892578125,-163.41351318359375
0284070,White Mountain,736,,463-BF-01,White Mountain Lodge,,2000,,,,,,t,f,f,f,,,,794,AEA,,,,64.68231201171875,-163.41119384765625
