fips_code,name,regional_corporation,borough,grid,reporting_entity,economic_region,pce_eligible,latitude,longitude
0239740,Kipnuk,Calista Alaska Native Regional Corporation,Bethel Census Area,Kipnuk Grid,Kipnuk Light Plant,Southwest Economic Region,t,59.9363864,-164.03794006
0239960,Kivalina,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Kivalina Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,67.72738683,-164.5399655
0240400,Klawock,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,55.55450419,-133.09603454
0240510,Klukwan,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,Upper Lynn Canal Grid,Inside Passage Electric,Southeast Economic Region,t,59.40043417,-135.89587576
0240670,Knik River,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.49712115,-148.94092664
0240645,Knik-Fairview,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.51685582,-149.62083067
0240840,Kobuk,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Shungnak Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,66.90770092,-156.88237275
0240950,Kodiak,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Kodiak Grid,Kodiak Electric Assn Inc,Gulf Coast Economic Region,f,57.79300136,-152.39748118
0241210,Kodiak Station,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Kodiak Grid,Kodiak Electric Assn Inc,Gulf Coast Economic Region,,57.7381,-152.5037
0241280,Kokhanok,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Kokhanok Grid,Kokhanok Village Council,Southwest Economic Region,t,59.44000574,-154.74918539
0241500,Koliganek,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,Koliganek Grid,New Koliganek Village Council,Southwest Economic Region,t,59.72640737,-157.28569589
0241610,Kongiganak,Calista Alaska Native Regional Corporation,Bethel Census Area,Kongiganak Grid,Puvurnaq Power Company,Southwest Economic Region,t,59.95943874,-162.88706395
0241720,Kotlik,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Kotlik Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,63.03311399,-163.55653659
0241830,Kotzebue,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Kotzebue Grid,Kotzebue Electric Association,Northern Economic Region,t,66.89667542,-162.59298933
0241940,Koyuk,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Koyuk Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,64.93066131,-161.16487363
0242050,Koyukuk,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Koyukuk Grid,City of Koyukuk,Interior Economic Region,t,64.88178878,-157.70270185
0242160,Kupreanof,Sealaska Alaska Native Regional Corporation,Petersburg Borough,SEAPA Grid,Petersburg Borough,Southeast Economic Region,,56.81669536,-132.97770415
0242380,Kwethluk,Calista Alaska Native Regional Corporation,Bethel Census Area,Kwethluk Grid,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Southwest Economic Region,t,60.81122837,-161.43754673
0242490,Kwigillingok,Calista Alaska Native Regional Corporation,Bethel Census Area,Kwigillingok Grid,Kwigillingok Power Company,Southwest Economic Region,t,59.87709667,-163.15761839
0242805,Lake Louise,Ahtna Alaska Native Regional Corporation,Matanuska-Susitna Borough,,,Anchorage/Mat-Su Economic Region,,62.29986189,-146.58825648
0242820,Lake Minchumina,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,,,Interior Economic Region,,63.88261006,-152.31468697
0243040,Larsen Bay,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Larsen Bay Grid,,Gulf Coast Economic Region,t,57.53706833,-153.9814353
0243260,Lazy Mountain,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.62833023,-149.04599844
0243810,Levelock,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Levelock Grid,Levelock Electrical Coop,Southwest Economic Region,t,59.11246319,-156.85750185
0244030,Lime Village,Calista Alaska Native Regional Corporation,Bethel Census Area,Lime Village Grid,Lime Village Electric Utility,Southwest Economic Region,t,61.35538888,-155.43702258
0244580,Livengood,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,,,Interior Economic Region,,65.52281398,-148.54850048
0245020,Loring,Sealaska Alaska Native Regional Corporation,Ketchikan Gateway Borough,,,Southeast Economic Region,,55.60281742,-131.6373989
0245295,Lowell Point,Chugach Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,City of Seward,Gulf Coast Economic Region,,60.0725,-149.4411111
0245460,Lower Kalskag,Calista Alaska Native Regional Corporation,Bethel Census Area,Upper Kalskag Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.51236297,-160.36440167
0245700,Lutak,Sealaska Alaska Native Regional Corporation,Haines Borough,Upper Lynn Canal Grid,,Southeast Economic Region,,59.31301367,-135.5462038
0246780,Manley Hot Springs,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Manley Hot Springs Grid,TDX Manley Generating LLC,Interior Economic Region,t,64.99588683,-150.63716518
0246890,Manokotak,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,Manokotak Grid,Manokotak Power Company,Southwest Economic Region,t,58.97954187,-159.05492998
0247000,Marshall,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Marshall Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.88144143,-162.08816948
0245790,McCarthy,Ahtna Alaska Native Regional Corporation,Copper River Census Area,,,Gulf Coast Economic Region,,61.43287967,-142.92370024
0246010,McGrath,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,McGrath Grid,Mcgrath Light & Power,Interior Economic Region,t,62.95014085,-155.58835315
0247735,Meadow Lakes,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.62425754,-149.60355194
0247990,Mekoryuk,Calista Alaska Native Regional Corporation,Bethel Census Area,Mekoryuk Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.38649408,-166.1928612
0248200,Mendeltna,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,62.0494,-146.5383
0248540,Mentasta Lake,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Slana Grid,Alaska Power & Telephone Company,Gulf Coast Economic Region,t,62.92939878,-143.79758178
0248590,Mertarvik,Calista Alaska Native Regional Corporation,Bethel Census Area,Newtok Grid,,Southwest Economic Region,,60.81887984,-164.50713521
0248870,Metlakatla,,Prince of Wales-Hyder Census Area,Metlakatla Grid,Metlakatla Power & Light,Southeast Economic Region,f,55.12607391,-131.57330705
0249200,Mill Bay,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Kodiak Grid,Kodiak Electric Assn Inc,Gulf Coast Economic Region,,57.8155011,-152.3675422
0249530,Minto,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Minto Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,65.15214834,-149.34826008
0250080,Moose Creek,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.70862307,-147.15053014
0250190,Moose Pass,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Chugach Electric Assn Inc,Gulf Coast Economic Region,,60.48643528,-149.36827705
0250800,Mosquito Lake,Sealaska Alaska Native Regional Corporation,Haines Borough,Upper Lynn Canal Grid,,Southeast Economic Region,,59.44650625,-136.0314547
0251180,Mountain Village,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Saint Marys Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,62.08954141,-163.72627562
0251455,Mud Bay,Sealaska Alaska Native Regional Corporation,Haines Borough,Upper Lynn Canal Grid,,Southeast Economic Region,,59.15998909,-135.37500524
0251960,Nabesna,Ahtna Alaska Native Regional Corporation,Copper River Census Area,,,Gulf Coast Economic Region,,62.37195602,-143.01178595
0252060,Naknek,Bristol Bay Alaska Native Regional Corporation,Bristol Bay Borough,Naknek Grid,Naknek Electric Association,Southwest Economic Region,t,58.72821587,-157.01991376
0252210,Nanwalek,Chugach Alaska Native Regional Corporation,Kenai Peninsula Borough,,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.35443449,-151.91992102
0252390,Napakiak,Calista Alaska Native Regional Corporation,Bethel Census Area,Bethel Grid,Napakiak Ircinraq,Southwest Economic Region,t,60.69433134,-161.97262602
0252720,Napaskiak,Calista Alaska Native Regional Corporation,Bethel Census Area,Napaskiak Grid,Napaskiak Electric Utility,Southwest Economic Region,t,60.70823356,-161.75319706
0252845,Naukati Bay,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,55.86896699,-133.20267814
0252915,Nelchina,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,61.9898422,-146.77891647
0252940,Nelson Lagoon,Aleut Alaska Native Regional Corporation,Aleutians East Borough,Nelson Lagoon Grid,Nelson Lagoon Electrical Coop,Southwest Economic Region,t,56.00120604,-161.20184982
0253050,Nenana,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.56270921,-149.09074136
0253710,New Stuyahok,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,New Stuyahok Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,59.45155086,-157.31128856
0253270,Newhalen,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Newhalen Grid,I-N-N Electric Coop Inc,Southwest Economic Region,t,59.72097095,-154.89480018
0253820,Newtok,Calista Alaska Native Regional Corporation,Bethel Census Area,Newtok Grid,Ungusraq Power Company,Southwest Economic Region,t,60.93686382,-164.62941623
0253930,Nightmute,Calista Alaska Native Regional Corporation,Bethel Census Area,Toksook Bay Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.4799803,-164.72996641
0254050,Nikiski,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,f,60.73459723,-151.29692559
0254085,Nikolaevsk,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.81132569,-151.61311471
0254150,Nikolai,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Nikolai Grid,City of Nikolai,Interior Economic Region,t,63.01373203,-154.37521598
0254260,Nikolski,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,Nikolski Grid,Umnak Power Company,Southwest Economic Region,t,52.94010895,-168.86018348
0254480,Ninilchik,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.04305213,-151.67510116
0254700,Noatak,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Noatak Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,67.5718168,-162.98850003
0254920,Nome,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Nome Grid,Nome Joint Utility Systems,Northern Economic Region,t,64.49808969,-165.40855986
0255030,Nondalton,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Newhalen Grid,I-N-N Electric Coop Inc,Southwest Economic Region,t,59.96787387,-154.8575714
0255140,Noorvik,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Noorvik Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,66.83334504,-161.04682576
0255745,North Lakes,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.6183777,-149.3107243
0255910,North Pole,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,f,64.75490265,-147.35149648
0256220,Northway,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Northway Grid,Alaska Power & Telephone Company,Interior Economic Region,t,62.96177093,-141.93417861
0256320,Nuiqsut,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Nuiqsut Grid,North Slope Borough Power & Light,Northern Economic Region,t,70.21731414,-150.99901621
0256350,Nulato,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Nulato Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,64.72341938,-158.10535466
0256600,Nunam Iqua,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Nunam Iqua Grid,Nunam Iqua Electric Company,Southwest Economic Region,t,62.53106513,-164.85200389
0256680,Nunapitchuk,Calista Alaska Native Regional Corporation,Bethel Census Area,Kasigluk Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.89721728,-162.45740501
0257340,Old Harbor,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Old Harbor Grid,Alaska Village Electric Cooperative,Gulf Coast Economic Region,t,57.21341891,-153.28367127
0258330,Oscarville,Calista Alaska Native Regional Corporation,Bethel Census Area,Bethel Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.72264754,-161.77136517
0258550,Ouzinkie,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Ouzinkie Grid,City of Ouzinkie,Gulf Coast Economic Region,t,57.9232638,-152.50398554
0258660,Palmer,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,f,61.59970576,-149.11775808
0259320,Paxson,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Paxson Grid,,Gulf Coast Economic Region,,63.03245024,-145.49600069
0259540,Pedro Bay,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Pedro Bay Grid,Pedro Bay Village Council,Southwest Economic Region,t,59.78824382,-154.09956667
0259650,Pelican,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,Pelican Grid,Pelican Utility,Southeast Economic Region,f,57.9606687,-136.22974756
0260200,Perryville,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Perryville Grid,,Southwest Economic Region,t,55.91158561,-159.14339251
0260310,Petersburg,Sealaska Alaska Native Regional Corporation,Petersburg Borough,SEAPA Grid,Petersburg Borough,Southeast Economic Region,f,56.8109592,-132.95776302
0260460,Petersville,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,62.49649645,-150.76790264
0260640,Pilot Point,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Pilot Point Grid,Pilot Point Electric Utility,Southwest Economic Region,t,57.56429935,-157.57733276
0260750,Pilot Station,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Pilot Station Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.93720251,-162.88313585
0260860,Pitkas Point,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Saint Marys Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,62.03181257,-163.28701943
0261080,Platinum,Calista Alaska Native Regional Corporation,Bethel Census Area,Platinum Grid,,Southwest Economic Region,f,59.00848275,-161.81475033
0261120,Pleasant Valley,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.87771785,-146.85516397
0261190,Point Baker,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,,,Southeast Economic Region,,56.3513641,-133.62121059
0261630,Point Hope,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Point Hope Grid,North Slope Borough Power & Light,Northern Economic Region,t,68.34808223,-166.73427192
0261700,Point Lay,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Point Lay Grid,North Slope Borough Power & Light,Northern Economic Region,t,69.74312289,-163.00913774
0261788,Point MacKenzie,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.35518649,-150.0108417
0261825,Point Possession,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,,,Gulf Coast Economic Region,,61.0350394,-150.37835622
0262125,Pope-Vannoy Landing,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,,,Southwest Economic Region,,59.55470038,-154.49827348
0262510,Port Alexander,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,,,Southeast Economic Region,,56.24923768,-134.64699558
0262620,Port Alsworth,Cook Inlet Alaska Native Regional Corporation,Lake and Peninsula Borough,Port Alsworth Grid,Tanalian Electric Cooperative,Southwest Economic Region,t,60.19602229,-154.32808373
0263170,Port Clarence,Bering Straits Alaska Native Regional Corporation,Nome Census Area,,,Northern Economic Region,,65.26185599,-166.84951599
0263280,Port Graham,Chugach Alaska Native Regional Corporation,Kenai Peninsula Borough,,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.35156193,-151.83172437
0263390,Port Heiden,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Port Heiden Grid,Port Heiden Utilities,Southwest Economic Region,t,56.93007699,-158.61901559
0263610,Port Lions,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Kodiak Grid,Kodiak Electric Assn Inc,Gulf Coast Economic Region,,57.86662239,-152.88344189
0263870,Port Protection,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,,,Southeast Economic Region,,56.32235107,-133.60721671
0262285,Portage Creek,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,,,Southwest Economic Region,,58.90519103,-157.71981375
0264240,Primrose,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,City of Seward,Gulf Coast Economic Region,,60.35763118,-149.35258984
0264380,Prudhoe Bay,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Deadhorse Grid,,Northern Economic Region,,70.2553,-148.3372
0264600,Quinhagak,Calista Alaska Native Regional Corporation,Bethel Census Area,Quinhagak Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,59.75142674,-161.9006125
0264820,Rampart,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Rampart Grid,Rampart Village Council,Interior Economic Region,f,65.50338663,-150.1718169
0264930,Red Devil,Calista Alaska Native Regional Corporation,Bethel Census Area,Red Devil Grid,Middle Kuskokwim Electric,Southwest Economic Region,t,61.78226065,-157.33465586
0264980,Red Dog Mine,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,,,Northern Economic Region,,68.07171169,-162.85415523
0265345,Ridgeway,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.53130471,-151.08107415
0265590,Ruby,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Ruby Grid,City of Ruby,Interior Economic Region,t,64.7392281,-155.48894931
0265700,Russian Mission,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Russian Mission Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.78384234,-161.32349606
0265800,Saint George,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,Saint George Grid,City of Saint George,Southwest Economic Region,t,56.6014257,-169.54528
0266140,Saint Mary's,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Saint Marys Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,62.0514716,-163.17516104
0266360,Saint Michael,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Stebbins Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,63.47835158,-162.03991035
0266470,Saint Paul,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,Saint Paul Grid,Saint Paul Municipal Electric,Southwest Economic Region,t,57.12039948,-170.28228831
0266510,Salamatof,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.61773773,-151.3334305
0266550,Salcha,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.48242457,-146.97720965
0267020,Sand Point,Aleut Alaska Native Regional Corporation,Aleutians East Borough,Sand Point Grid,TDX Corporation,Southwest Economic Region,t,55.34090243,-160.49809006
0267460,Savoonga,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Savoonga Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,63.6929776,-170.4840268
0267570,Saxman,Sealaska Alaska Native Regional Corporation,Ketchikan Gateway Borough,SEAPA Grid,Ketchikan Public Utilities,Southeast Economic Region,,55.31892423,-131.59761777
0267680,Scammon Bay,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Scammon Bay Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.84281001,-165.58157216
0268230,Selawik,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Selawik Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,66.60439151,-160.01011021
0268340,Seldovia,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,f,59.44059723,-151.71857386
0268370,Seldovia Village,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.47434528,-151.64995402
0268560,Seward,Chugach Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,City of Seward,Gulf Coast Economic Region,f,60.10312795,-149.43922421
0268670,Shageluk,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Shageluk Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,62.65537035,-159.53059767
0268890,Shaktoolik,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Shaktoolik Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,64.3545557,-161.19435626
0269770,Shishmaref,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Shishmaref Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,66.25510533,-166.07076445
0270100,Shungnak,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Shungnak Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,66.8880443,-157.13819049
0270320,Silver Springs,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,62.01106524,-145.33214976
0270540,Sitka,Sealaska Alaska Native Regional Corporation,City and Borough of Sitka,Sitka Grid,City & Borough of Sitka,Southeast Economic Region,f,57.04902126,-135.33862304
0270760,Skagway,Sealaska Alaska Native Regional Corporation,Municipality of Skagway,Upper Lynn Canal Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,59.45573152,-135.31169114
0270870,Skwentna,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,,,Anchorage/Mat-Su Economic Region,,61.96772306,-151.20133552
0270930,Slana,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Slana Grid,Alaska Power & Telephone Company,Gulf Coast Economic Region,t,62.7065704,-143.96993915
0271090,Sleetmute,Calista Alaska Native Regional Corporation,Bethel Census Area,Sleetmute Grid,Middle Kuskokwim Electric,Southwest Economic Region,t,61.70268238,-157.17040975
0271640,Soldotna,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.49044721,-151.06585198
0272135,South Lakes,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.5875606,-149.3155438
0272190,South Naknek,Bristol Bay Alaska Native Regional Corporation,Bristol Bay Borough,Naknek Grid,Naknek Electric Association,Southwest Economic Region,t,58.71326678,-157.00692435
0272230,South Van Horn,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.81107438,-147.75923942
0272960,Stebbins,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Stebbins Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,63.52380972,-162.2914977
0272985,Steele Creek,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.89234841,-147.48814616
0273070,Sterling,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.53702908,-150.79703641
0273290,Stevens Village,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Stevens Village Grid,,Interior Economic Region,f,66.00452448,-149.08443821
0273400,Stony River,Calista Alaska Native Regional Corporation,Bethel Census Area,Stony River Grid,Middle Kuskokwim Electric,Southwest Economic Region,t,61.78716013,-156.58825541
0273950,Sunrise,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Chugach Electric Assn Inc,Gulf Coast Economic Region,,60.88404712,-149.42613053
0274340,Susitna,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,,,Anchorage/Mat-Su Economic Region,,61.49836623,-150.63388448
0274350,Susitna North,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,62.1312135,-150.04359382
0274525,Sutton-Alpine,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.70959159,-148.8773404
0274610,Takotna,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Takotna Grid,Takotna Community Assoc Inc,Interior Economic Region,t,62.98795952,-156.06195251
0274830,Talkeetna,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,f,62.32317025,-150.11199934
0275050,Tanacross,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Tok Grid,Alaska Power & Telephone Company,Interior Economic Region,t,63.3762792,-143.35599738
0275077,Tanaina,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,f,61.61025377,-149.38484824
0275160,Tanana,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Tanana Grid,Tanana Power Company Inc,Interior Economic Region,t,65.17118315,-152.0777034
0275380,Tatitlek,Chugach Alaska Native Regional Corporation,Chugach Census Area,Tatitlek Grid,Tatitlek Village Ira Council,Gulf Coast Economic Region,t,60.86848502,-146.68172131
0275480,Tazlina,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,62.04738118,-145.4120642
0275930,Teller,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Teller Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,65.26295683,-166.36520237
