fips_code,name,grid_id,net_generation_mwh,fuel_type,year,month
0203110,Anchor Point,215,6299,WO,2021,4
0203110,Anchor Point,215,28768.986,WO,2021,3
0203110,Anchor Point,215,7226,DFO,2021,3
0203110,Anchor Point,215,6184.922,WO,2021,3
0203110,Anchor Point,215,5.014,DFO,2021,3
0203110,Anchor Point,215,1.078,DFO,2021,3
0203110,Anchor Point,215,27458,WO,2021,2
0203110,Anchor Point,215,6594,DFO,2021,2
0203110,Anchor Point,215,5526,WO,2021,2
0203110,Anchor Point,215,27046,WO,2021,1
0203110,Anchor Point,215,5715,WO,2021,1
0203110,Anchor Point,215,3832,DFO,2021,1
0203110,Anchor Point,215,-7.165,DFO,2021,6
0203110,Anchor Point,215,559.815,DFO,2021,6
0203110,Anchor Point,215,-7.002,DFO,2021,7
0203110,Anchor Point,215,547.082,DFO,2021,7
0203110,Anchor Point,215,-10.098,DFO,2021,8
0203110,Anchor Point,215,788.959,DFO,2021,8
0203110,Anchor Point,215,-13.079,DFO,2021,9
0203110,Anchor Point,215,1021.86,DFO,2021,9
0203110,Anchor Point,215,-12.995,DFO,2021,10
0203110,Anchor Point,215,1015.24,DFO,2021,10
0203110,Anchor Point,215,-10.146,DFO,2021,11
0203110,Anchor Point,215,792.693,DFO,2021,11
0203110,Anchor Point,215,-11.279,DFO,2021,12
0203110,Anchor Point,215,881.198,DFO,2021,12
0203110,Anchor Point,215,3617.06,WND,2021,1
0203110,Anchor Point,215,2753.525,WND,2021,2
0203110,Anchor Point,215,3431.553,WND,2021,3
0203110,Anchor Point,215,2725.326,WND,2021,4
0203110,Anchor Point,215,3218.954,WND,2021,5
0203110,Anchor Point,215,3326.065,WND,2021,6
0203110,Anchor Point,215,3918.02,WND,2021,7
0203110,Anchor Point,215,3969.62,WND,2021,8
0203110,Anchor Point,215,4067.283,WND,2021,9
0203110,Anchor Point,215,4108.031,WND,2021,10
0203110,Anchor Point,215,2334.233,WND,2021,11
0203110,Anchor Point,215,4289.33,WND,2021,12
0203110,Anchor Point,215,27280,NG,2021,12
0203110,Anchor Point,215,13678,NG,2021,12
0203110,Anchor Point,215,27267,NG,2021,11
0203110,Anchor Point,215,14263,NG,2021,11
0203110,Anchor Point,215,23610,NG,2021,10
0203110,Anchor Point,215,15617,NG,2021,10
0203110,Anchor Point,215,12908,NG,2021,9
0203110,Anchor Point,215,6583,NG,2021,9
0203110,Anchor Point,215,20910,NG,2021,8
0203110,Anchor Point,215,10767,NG,2021,8
0203110,Anchor Point,215,20979,NG,2021,7
0203110,Anchor Point,215,11173,NG,2021,7
0203110,Anchor Point,215,17242,NG,2021,6
0203110,Anchor Point,215,8858,NG,2021,6
0203110,Anchor Point,215,10951,NG,2021,5
0203110,Anchor Point,215,5732,NG,2021,5
0203110,Anchor Point,215,22750,NG,2021,4
0203110,Anchor Point,215,12053,NG,2021,4
0203110,Anchor Point,215,25264,NG,2021,3
0203110,Anchor Point,215,13525,NG,2021,3
0203110,Anchor Point,215,23941,NG,2021,2
0203110,Anchor Point,215,12902,NG,2021,2
0203110,Anchor Point,215,26194,NG,2021,1
0203110,Anchor Point,215,14907,NG,2021,1
0203110,Anchor Point,215,4.9,DFO,2021,1
0203110,Anchor Point,215,4.9,DFO,2021,2
0203110,Anchor Point,215,4.9,DFO,2021,3
0203110,Anchor Point,215,5.88,DFO,2021,4
0203110,Anchor Point,215,4.9,DFO,2021,5
0203110,Anchor Point,215,4.9,DFO,2021,6
0203110,Anchor Point,215,3.92,DFO,2021,7
0203110,Anchor Point,215,4.9,DFO,2021,8
0203110,Anchor Point,215,4.9,DFO,2021,9
0203110,Anchor Point,215,4.9,DFO,2021,10
0203110,Anchor Point,215,5.88,DFO,2021,11
0203110,Anchor Point,215,4.9,DFO,2021,12
0203110,Anchor Point,215,216.809,NG,2021,1
0203110,Anchor Point,215,17991,NG,2021,1
0203110,Anchor Point,215,53960,NG,2021,1
0203110,Anchor Point,215,186.292,NG,2021,2
0203110,Anchor Point,215,16692,NG,2021,2
0203110,Anchor Point,215,50798,NG,2021,2
0203110,Anchor Point,215,182.816,NG,2021,3
0203110,Anchor Point,215,13039,NG,2021,3
0203110,Anchor Point,215,43925,NG,2021,3
0203110,Anchor Point,215,180.222,NG,2021,4
0203110,Anchor Point,215,18384,NG,2021,4
0203110,Anchor Point,215,55004,NG,2021,4
0203110,Anchor Point,215,196.525,NG,2021,5
0203110,Anchor Point,215,15631,NG,2021,5
0203110,Anchor Point,215,51214,NG,2021,5
0203110,Anchor Point,215,247.399,NG,2021,6
0203110,Anchor Point,215,12960,NG,2021,6
0203110,Anchor Point,215,42029,NG,2021,6
0203110,Anchor Point,215,281.091,NG,2021,7
0203110,Anchor Point,215,16626,NG,2021,7
0203110,Anchor Point,215,48523,NG,2021,7
0203110,Anchor Point,215,284.995,NG,2021,8
0203110,Anchor Point,215,17504,NG,2021,8
0203110,Anchor Point,215,48612,NG,2021,8
0203110,Anchor Point,215,233.687,NG,2021,9
0203110,Anchor Point,215,6906,NG,2021,9
0203110,Anchor Point,215,22824,NG,2021,9
0203110,Anchor Point,215,220.398,NG,2021,10
0203110,Anchor Point,215,17702,NG,2021,10
0203110,Anchor Point,215,49435,NG,2021,10
0203110,Anchor Point,215,205.354,NG,2021,11
0203110,Anchor Point,215,17436,NG,2021,11
0203110,Anchor Point,215,51611,NG,2021,11
0203110,Anchor Point,215,214.412,NG,2021,12
0203110,Anchor Point,215,17620,NG,2021,12
0203110,Anchor Point,215,52296,NG,2021,12
0203110,Anchor Point,215,0,DFO,2021,1
0203110,Anchor Point,215,184.127,NG,2021,1
0203110,Anchor Point,215,,DFO,2021,1
0203110,Anchor Point,215,0,DFO,2021,2
0203110,Anchor Point,215,158.209,NG,2021,2
0203110,Anchor Point,215,,DFO,2021,2
0203110,Anchor Point,215,0,DFO,2021,3
0203110,Anchor Point,215,155.257,NG,2021,3
0203110,Anchor Point,215,,DFO,2021,3
0203110,Anchor Point,215,0,DFO,2021,4
0203110,Anchor Point,215,153.054,NG,2021,4
0203110,Anchor Point,215,,DFO,2021,4
0203110,Anchor Point,215,0,DFO,2021,5
0203110,Anchor Point,215,16.863,NG,2021,4
0203110,Anchor Point,215,2676.137,LFG,2021,4
0203110,Anchor Point,215,2943,LFG,2021,5
0203110,Anchor Point,215,2775,LFG,2021,6
0203110,Anchor Point,215,2860,LFG,2021,7
0203110,Anchor Point,215,2904,LFG,2021,8
0203110,Anchor Point,215,2702,LFG,2021,9
0203110,Anchor Point,215,3905,LFG,2021,10
0203110,Anchor Point,215,0.981,NG,2021,11
0203110,Anchor Point,215,3801.019,LFG,2021,11
0203110,Anchor Point,215,0.781,NG,2021,12
0203110,Anchor Point,215,3102.219,LFG,2021,12
0203110,Anchor Point,215,7225,SUB,2021,12
0203110,Anchor Point,215,6317,SUB,2021,11
0203110,Anchor Point,215,5254,SUB,2021,10
0203110,Anchor Point,215,4290,SUB,2021,9
0203110,Anchor Point,215,4439,SUB,2021,8
0203110,Anchor Point,215,4539,SUB,2021,7
0203110,Anchor Point,215,4313,SUB,2021,6
0203110,Anchor Point,215,4583,SUB,2021,5
0203110,Anchor Point,215,5408,SUB,2021,4
0203110,Anchor Point,215,6012,SUB,2021,3
0203110,Anchor Point,215,6169,SUB,2021,2
0203110,Anchor Point,215,6509,SUB,2021,1
0203110,Anchor Point,215,4180.301,SUB,2021,12
0203110,Anchor Point,215,671.883,JF,2021,12
0203110,Anchor Point,215,0.816,NG,2021,12
0203110,Anchor Point,215,9232,SUB,2021,11
0203110,Anchor Point,215,-51,DFO,2021,11
0203110,Anchor Point,215,8636,SUB,2021,10
0203110,Anchor Point,215,-49,DFO,2021,10
0203110,Anchor Point,215,7978.16,SUB,2021,9
0203110,Anchor Point,215,158.84,DFO,2021,9
0203110,Anchor Point,215,-46,DFO,2021,9
0203110,Anchor Point,215,8282,SUB,2021,8
0203110,Anchor Point,215,-50,DFO,2021,8
0203110,Anchor Point,215,6314,SUB,2021,7
0203110,Anchor Point,215,-48,DFO,2021,7
0203110,Anchor Point,215,5849,SUB,2021,6
0203110,Anchor Point,215,-47,DFO,2021,6
0203110,Anchor Point,215,87.195,SUB,2021,5
0203110,Anchor Point,215,37.15,DFO,2021,5
0203110,Anchor Point,215,2.655,NG,2021,5
0203110,Anchor Point,215,-50,DFO,2021,5
0203110,Anchor Point,215,6244,SUB,2021,4
0203110,Anchor Point,215,-46,DFO,2021,4
0203110,Anchor Point,215,4650,SUB,2021,3
0203110,Anchor Point,215,-47,DFO,2021,3
0203110,Anchor Point,215,4532,SUB,2021,2
0203110,Anchor Point,215,166.9,NG,2021,5
0203110,Anchor Point,215,,DFO,2021,5
0203110,Anchor Point,215,0,DFO,2021,6
0203110,Anchor Point,215,210.104,NG,2021,6
0203110,Anchor Point,215,,DFO,2021,6
0203110,Anchor Point,215,0,DFO,2021,7
0203110,Anchor Point,215,238.717,NG,2021,7
0203110,Anchor Point,215,,DFO,2021,7
0203110,Anchor Point,215,0,DFO,2021,8
0203110,Anchor Point,215,242.033,NG,2021,8
0203110,Anchor Point,215,,DFO,2021,8
0203110,Anchor Point,215,0,DFO,2021,9
0203110,Anchor Point,215,198.459,NG,2021,9
0203110,Anchor Point,215,,DFO,2021,9
0203110,Anchor Point,215,0,DFO,2021,10
0203110,Anchor Point,215,187.174,NG,2021,10
0203110,Anchor Point,215,,DFO,2021,10
0203110,Anchor Point,215,0,DFO,2021,11
0203110,Anchor Point,215,174.397,NG,2021,11
0203110,Anchor Point,215,,DFO,2021,11
0203110,Anchor Point,215,0,DFO,2021,12
0203110,Anchor Point,215,1.479,DFO,2021,12
0203110,Anchor Point,215,182.09,NG,2021,12
0203110,Anchor Point,215,506.535,DFO,2021,1
0203110,Anchor Point,215,10496.331,WC,2021,1
0203110,Anchor Point,215,28096.134,LIG,2021,1
0203110,Anchor Point,215,620.389,DFO,2021,2
0203110,Anchor Point,215,7259.23,WC,2021,2
0203110,Anchor Point,215,21795.381,LIG,2021,2
0203110,Anchor Point,215,628.386,DFO,2021,3
0203110,Anchor Point,215,6779.564,WC,2021,3
0203110,Anchor Point,215,26073.05,LIG,2021,3
0203110,Anchor Point,215,304.231,DFO,2021,4
0203110,Anchor Point,215,2874.042,WC,2021,4
0203110,Anchor Point,215,9100.727,LIG,2021,4
0203110,Anchor Point,215,360.123,DFO,2021,5
0203110,Anchor Point,215,8671.743,WC,2021,5
0203110,Anchor Point,215,30131.134,LIG,2021,5
0203110,Anchor Point,215,427.316,DFO,2021,6
0203110,Anchor Point,215,11109.561,WC,2021,6
0203110,Anchor Point,215,25908.123,LIG,2021,6
0203110,Anchor Point,215,468.546,DFO,2021,7
0203110,Anchor Point,215,11381.448,WC,2021,7
0203110,Anchor Point,215,30883.006,LIG,2021,7
0203110,Anchor Point,215,663.104,DFO,2021,8
0203110,Anchor Point,215,9014.832,WC,2021,8
0203110,Anchor Point,215,17515.064,LIG,2021,8
0203110,Anchor Point,215,255.481,DFO,2021,9
0203110,Anchor Point,215,5310.979,WC,2021,9
0203110,Anchor Point,215,9856.54,LIG,2021,9
0203110,Anchor Point,215,831.054,DFO,2021,10
0203110,Anchor Point,215,3622.811,WC,2021,10
