fips_code,name,start_year,end_year,is_most_recent,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0211690,Central,2019,2023,1,93,0,11,10,10,0,0,6,11,3,20,22,0,0,47.9,31,62,62,26,22,93,51,42
0211800,Chalkyitsik,2019,2023,1,103,9,13,14,0,0,33,23,2,5,0,4,0,0,29.9,36,67,67,4,4,103,57,46
0212350,Chase,2019,2023,1,25,0,0,0,0,0,0,0,0,0,0,25,0,0,,0,25,25,25,25,25,13,12
0212680,Chefornak,2019,2023,1,530,64,90,40,40,17,91,52,21,15,31,57,12,0,27,221,309,296,87,69,530,292,238
0212920,Chena Ridge,2019,2023,1,5927,384,261,609,282,315,879,846,968,192,577,399,215,0,38.5,1435,4492,4368,917,614,5927,3053,2874
0212970,Chenega,2019,2023,1,54,3,4,3,14,7,6,4,4,0,0,9,0,0,21.5,16,38,30,9,9,54,26,28
0213230,Chevak,2019,2023,1,464,45,56,81,31,14,92,51,32,12,25,20,5,0,25.7,195,269,246,46,25,464,253,211
0213340,Chickaloon,2019,2023,1,318,41,4,14,0,18,63,14,11,27,17,82,23,4,49.1,59,259,259,121,109,318,150,168
0213450,Chicken,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0213550,Chignik,2019,2023,1,28,2,0,2,2,0,5,3,2,1,3,6,2,0,44.5,6,22,22,8,8,28,10,18
0213670,Chignik Lagoon,2019,2023,1,31,2,0,2,5,0,1,5,0,4,6,6,0,0,55.1,6,25,22,12,6,31,12,19
0213780,Chignik Lake,2019,2023,1,31,4,1,3,5,0,0,6,2,3,3,4,0,0,35.8,9,22,18,4,4,31,17,14
0213860,Chiniak,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0213890,Chisana,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0214000,Chistochina,2019,2023,1,52,0,8,0,0,4,0,3,9,6,10,4,6,2,58.5,8,44,40,12,12,52,14,38
0214110,Chitina,2019,2023,1,100,21,12,4,4,8,5,11,7,2,12,12,2,0,31.5,40,60,59,19,14,100,59,41
0214330,Chuathbaluk,2019,2023,1,89,2,9,8,9,15,4,3,7,2,20,10,0,0,31.2,22,67,61,22,10,89,48,41
0214880,Circle,2019,2023,1,48,0,5,13,0,0,0,5,5,0,6,4,6,4,52.2,18,30,30,20,14,48,13,35
0215320,Clam Gulch,2019,2023,1,294,12,12,12,10,43,33,31,24,10,22,63,18,4,42.5,46,248,248,98,85,294,166,128
0215430,Clark's Point,2019,2023,1,19,0,5,0,0,0,1,0,4,0,2,5,0,2,53.8,5,14,14,9,7,19,7,12
0216360,Coffman Cove,2019,2023,1,249,37,13,35,4,0,17,39,7,28,8,46,15,0,38.4,89,160,160,64,61,249,163,86
