fips_code,name,grid_id,grid_name,capacity_mw,fuel_type_code,fuel_type_name,year
0215320,Clam Gulch,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0215320,Clam Gulch,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0215320,Clam Gulch,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0215320,Clam Gulch,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0215320,Clam Gulch,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0215430,Clark's Point,107,Clarks Point Grid,0.3,DFO,Distillate Fuel Oil,2021
0216360,Coffman Cove,23,Prince of Wales Island Grid,11.5,WAT,Water at Hydroelectric Turbine,2021
0216360,Coffman Cove,23,Prince of Wales Island Grid,15.1,DFO,Distillate Fuel Oil,2021
0216420,Cohoe,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0216420,Cohoe,215,Railbelt Grid,44.5,WND,Wind,2021
0216420,Cohoe,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0216420,Cohoe,215,Railbelt Grid,1.9,SUN,Solar,2021
0216420,Cohoe,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0216420,Cohoe,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0216420,Cohoe,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0216420,Cohoe,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0216420,Cohoe,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0216420,Cohoe,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0216530,Cold Bay,114,Cold Bay Grid,,,,
0216630,Coldfoot,,,,,,
0216750,College,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0216750,College,215,Railbelt Grid,44.5,WND,Wind,2021
0216750,College,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0216750,College,215,Railbelt Grid,1.9,SUN,Solar,2021
0216750,College,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0216750,College,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0216750,College,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0216750,College,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0216750,College,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0216750,College,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0217190,Cooper Landing,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0217190,Cooper Landing,215,Railbelt Grid,44.5,WND,Wind,2021
0217190,Cooper Landing,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0217190,Cooper Landing,215,Railbelt Grid,1.9,SUN,Solar,2021
0217190,Cooper Landing,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0217190,Cooper Landing,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0217190,Cooper Landing,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0217190,Cooper Landing,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0217190,Cooper Landing,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0217190,Cooper Landing,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0217300,Copper Center,216,Copper Valley Grid,5.3,WO,Waste Oil,2021
0217300,Copper Center,216,Copper Valley Grid,18.5,WAT,Water at Hydroelectric Turbine,2021
0217300,Copper Center,216,Copper Valley Grid,17.8,DFO,Distillate Fuel Oil,2021
0217410,Cordova,14,Cordova Grid,7.2,WAT,Water at Hydroelectric Turbine,2021
0217410,Cordova,14,Cordova Grid,1.0,MWH,Electricity used for Energy Storage,2021
0217410,Cordova,14,Cordova Grid,10.7,DFO,Distillate Fuel Oil,2021
0217670,Covenant Life,32,Upper Lynn Canal Grid,9.8,WAT,Water at Hydroelectric Turbine,2021
0217670,Covenant Life,32,Upper Lynn Canal Grid,14.9,DFO,Distillate Fuel Oil,2021
0217740,Craig,23,Prince of Wales Island Grid,11.5,WAT,Water at Hydroelectric Turbine,2021
0217740,Craig,23,Prince of Wales Island Grid,15.1,DFO,Distillate Fuel Oil,2021
0217850,Crooked Creek,145,Crooked Creek Grid,0.3,DFO,Distillate Fuel Oil,2021
0217960,Crown Point,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0217960,Crown Point,215,Railbelt Grid,44.5,WND,Wind,2021
0217960,Crown Point,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0217960,Crown Point,215,Railbelt Grid,1.9,SUN,Solar,2021
0217960,Crown Point,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
