id,community_id,start_year,end_year,is_most_recent,geo_src,e_pop_age_total,m_pop_age_total,e_pop_age_under_5,m_pop_age_under_5,e_pop_age_5_9,m_pop_age_5_9,e_pop_age_10_14,m_pop_age_10_14,e_pop_age_15_19,m_pop_age_15_19,e_pop_age_20_24,m_pop_age_20_24,e_pop_age_25_34,m_pop_age_25_34,e_pop_age_35_44,m_pop_age_35_44,e_pop_age_45_54,m_pop_age_45_54,e_pop_age_55_59,m_pop_age_55_59,e_pop_age_60_64,m_pop_age_60_64,e_pop_age_65_74,m_pop_age_65_74,e_pop_age_75_84,m_pop_age_75_84,e_pop_age_85_plus,m_pop_age_85_plus,e_pop_age_median_age,m_pop_age_median_age,e_pop_age_under_18,m_pop_age_under_18,e_pop_age_18_plus,m_pop_age_18_plus,e_pop_age_21_plus,m_pop_age_21_plus,e_pop_age_62_plus,m_pop_age_62_plus,e_pop_age_65_plus,m_pop_age_65_plus,e_pop_total,m_pop_total,e_pop_male,m_pop_male,e_pop_female,m_pop_female
117,{929B664D-4B19-44FF-A034-299BEAC5D45E},2019,2023,1,P,9738,715,668,164,732,138,843,167,662,185,646,183,1374,242,1532,250,1147,220,625,158,607,158,585,141,282,101,35,26,34.6,2.3,2637,315,7101,515,6676,468,1313,221,902,169,9738,715,5066,461,4672,356
120,{BCB15849-7466-46EB-920C-2A9FAE9E93C5},2019,2023,1,P,3346,49,154,34,181,33,218,51,168,54,190,147,322,85,420,98,415,92,281,76,258,61,486,84,210,69,43,23,45.5,3.4,652,89,2694,103,2565,113,925,115,739,103,3346,49,1682,125,1664,120
121,{9B99FA70-E5CE-4C65-94D1-2ABCA3426E73},2019,2023,1,P,16,22,0,10,0,10,0,10,0,10,0,10,8,20,0,10,0,10,0,10,0,10,8,18,0,10,0,10,,,0,10,16,22,16,22,8,18,8,18,16,22,8,18,8,20
124,{406CA174-D318-4E54-BB1E-2B47EE0719E4},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
125,{CB8D5160-2521-4803-9207-2BBA48832C17},2019,2023,1,P,404,266,0,10,0,10,46,71,0,10,104,134,0,10,87,135,39,45,0,10,27,41,101,70,0,10,0,10,44.2,16.9,46,71,358,214,358,214,101,70,101,70,404,266,204,130,200,153
127,{9A6475BE-BEC0-49DA-8979-2C6E5FFF39CB},2019,2023,1,P,1166,238,177,63,155,66,171,50,101,43,89,34,146,49,94,48,107,43,41,17,38,14,32,16,15,12,0,10,18.6,2.5,567,146,599,109,557,103,65,26,47,20,1166,238,621,128,545,131
129,{74696C73-F1AA-4DBA-8D8F-2D4FFAEFCC7E},2019,2023,1,P,214,139,0,10,16,17,35,26,4,5,0,10,81,107,22,23,14,20,10,15,0,10,15,16,0,10,17,25,32.1,5.3,55,39,159,118,159,118,32,30,32,30,214,139,124,82,90,75
132,{15846556-C6AB-448D-B51D-2DE0E8727969},2019,2023,1,P,1693,212,75,36,71,27,95,41,113,38,94,51,246,73,174,48,245,56,126,35,174,46,211,61,61,30,8,9,42.4,7.8,313,75,1380,177,1318,171,366,75,280,66,1693,212,1010,156,683,91
133,{81BDA0B4-0CF3-41FD-B749-2E3923D9E10F},2019,2023,1,P,58,32,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,12,0,10,25,30,9,13,14,14,0,10,63.8,10,0,10,58,32,58,32,48,33,23,24,58,32,34,29,24,20
136,{50BD3072-1166-4F66-BB42-2E68C28DE654},2019,2023,1,P,232,56,36,22,35,17,24,12,23,12,17,11,30,14,23,13,14,10,11,7,14,10,3,5,2,4,0,10,19.6,3.8,102,41,130,31,107,25,12,12,5,8,232,56,127,32,105,29
137,{18EF53D7-2321-4285-A7D2-2F20CC22AEE6},2019,2023,1,P,4656,523,290,174,376,125,427,181,225,128,180,135,632,197,652,177,272,120,271,123,347,120,576,153,341,131,67,59,37.1,2.9,1269,368,3387,366,3338,332,1222,226,984,215,4656,523,2478,297,2178,315
139,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A},2019,2023,1,C,878,76,64,20,36,17,28,11,22,10,32,21,213,106,89,31,97,56,54,17,122,57,71,32,43,14,7,5,39.3,11.8,146,37,732,59,727,59,149,37,121,33,878,76,536,46,342,51
141,{53719238-336A-4B67-82E2-32339DE9CD8E},2019,2023,1,P,106,72,0,10,0,10,24,23,16,15,0,10,0,10,17,22,34,27,0,10,0,10,15,23,0,10,0,10,39.8,9.7,40,38,66,49,66,49,15,23,15,23,106,72,40,32,66,45
143,{1F2FC561-C032-423A-85B7-32591979EA75},2019,2023,1,C,5271,,356,24,391,42,436,43,252,36,357,71,695,63,634,48,553,56,403,67,324,45,580,53,231,21,59,16,37.3,0.4,1397,18,3874,18,3825,51,1075,66,870,50,5271,,2810,41,2461,41
146,{6E6F335B-34AD-45BE-A9A8-3351C21F50A9},2019,2023,1,C,2626,,180,55,191,43,209,47,131,33,74,46,219,74,280,82,330,79,209,78,226,70,387,79,166,73,24,16,45.5,5.1,685,82,1941,82,1885,89,709,112,577,102,2626,,1330,87,1296,87
147,{6C3B7B41-3AE1-40AB-AA91-33A20E34131E},2019,2023,1,P,54,31,6,6,5,4,7,6,4,5,0,10,5,9,6,6,5,6,3,5,1,2,10,9,2,4,0,10,35,11.6,20,11,34,25,32,22,13,10,12,9,54,31,33,18,21,16
150,{0C233779-E987-4620-A2DB-33C5FF299964},2019,2023,1,P,466,149,42,16,36,14,49,15,40,17,26,10,78,40,35,20,90,136,17,11,6,7,32,16,12,8,3,4,30,7.5,150,37,316,138,293,136,51,16,47,18,466,149,280,134,186,40
151,{3F03290E-B081-4B92-9E0F-33F6E0CD513B},2019,2023,1,P,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,8,2,4,0,10,71.5,9.8,0,10,7,10,7,10,7,10,7,10,7,10,4,5,3,6
153,{4BAA8104-672E-401E-88E8-341E10A478B8},2019,2023,1,P,13,18,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,18,0,10,0,10,,,0,10,13,18,13,18,13,18,13,18,13,18,6,10,7,9
155,{2DB58EF7-4C06-407F-9B11-35502BBDB0CC},2019,2023,1,P,8994,744,425,128,758,160,675,173,571,154,732,183,1031,248,1218,170,1107,182,685,120,627,124,835,127,314,85,16,17,37.9,2.9,2230,330,6764,526,6367,488,1538,176,1165,147,8994,744,4858,468,4136,361
158,{2F8EE675-06A4-4B7A-9275-369FEB17B896},2019,2023,1,P,426,98,51,20,43,17,68,26,29,15,30,17,81,30,16,12,28,16,30,15,18,10,22,13,10,10,0,10,23.3,3.1,178,44,248,59,228,55,41,19,32,16,426,98,223,58,203,53
159,{C99D0CCC-0034-4A9E-8A97-37B371CDC3CF},2019,2023,1,P,18,13,0,10,0,10,2,3,0,10,5,7,1,4,5,6,0,10,2,3,0,10,3,4,0,10,0,10,44.2,27.3,2,3,16,12,16,12,3,4,3,4,18,13,12,12,6,5
161,{C8F22DE3-2D24-49CD-A867-3855226D712F},2019,2023,1,P,277,90,37,23,35,16,27,19,32,16,12,11,61,30,23,15,16,12,10,8,6,5,15,13,3,5,0,10,23.2,8.4,120,51,157,48,141,46,19,14,18,14,277,90,163,53,114,45
163,{52520FE3-9874-4E97-BFD4-38DEE36B1FFD},2019,2023,1,P,125,87,9,11,11,13,0,10,0,10,0,10,26,30,35,42,0,10,0,10,28,26,16,18,0,10,0,10,38.1,18.1,20,24,105,75,105,75,34,29,16,18,125,87,31,31,94,70
166,{D18E8CFB-89C1-437A-ADAA-399023E0587C},2019,2023,1,P,205,57,14,9,13,9,33,17,21,13,10,7,14,12,34,17,17,11,13,7,10,6,23,11,3,4,0,10,31.6,10.5,75,30,130,33,121,29,34,10,26,11,205,57,129,38,76,27
167,{A83F4C9F-FA93-4FC6-974A-39BA917BA023},2019,2023,1,P,67,45,0,10,6,6,3,4,11,11,8,8,6,8,7,10,15,13,7,7,0,10,4,5,0,10,0,10,25.9,29.4,16,14,51,34,42,29,4,5,4,5,67,45,37,28,30,22
170,{D95D0788-C59A-4F16-AB72-3A049B1E1AFC},2019,2023,1,P,97,66,0,10,0,10,0,10,0,10,12,15,28,28,0,10,0,10,40,48,9,13,8,11,0,10,0,10,58.2,34.8,0,10,97,66,97,66,17,24,8,11,97,66,60,39,37,29
