community_fips_code,year,month,monthly_hdd_sum
0201200,2020,2,1815
0201200,2020,3,1540
0201200,2020,4,1122
0201200,2020,5,602
0201200,2020,6,406
0201200,2020,7,377
0201200,2020,8,379
0201200,2020,9,620
0201200,2020,10,887
0201200,2020,11,1148
0201200,2020,12,1525
0201200,2021,1,1689
0201200,2021,2,1632
0201200,2021,3,1699
0201200,2021,4,1230
0201200,2021,5,690
0201200,2021,6,473
0201200,2021,7,408
0201200,2021,8,450
0201200,2021,9,650
0201200,2021,10,1063
0201200,2021,11,1808
0201200,2021,12,1540
0201200,2022,1,1911
0201200,2022,2,1527
0201200,2022,3,1463
0201200,2022,4,1072
0201200,2022,5,785
0201200,2022,6,374
0201200,2022,7,375
0201200,2022,8,451
0201200,2022,9,562
0201200,2022,10,1010
0201200,2022,11,1264
0201200,2022,12,1544
0201200,2023,1,1748
0201200,2023,2,1660
0201200,2023,3,1579
0201200,2023,4,1566
0201200,2023,5,863
0201200,2023,6,458
0201200,2023,7,355
0201200,2023,8,380
0201200,2023,9,660
0201200,2023,10,1019
0201200,2023,11,1214
0201200,2023,12,1803
0201200,2024,1,1665
0201200,2024,2,1469
0201200,2024,3,1642
0201200,2024,4,1202
0201200,2024,5,901
0201200,2024,6,406
0201200,2024,7,393
0201200,2024,8,478
0201200,2024,9,640
0201200,2024,10,1002
0201200,2024,11,1347
0201200,2024,12,1377
0201305,2017,1,2230
0201305,2017,2,1858
0201305,2017,3,2065
0201305,2017,4,1060
0201305,2017,5,593
0201305,2017,6,189
0201305,2017,7,65
0201305,2017,8,421
0201305,2017,9,628
0201305,2017,10,1218
0201305,2017,11,1807
0201305,2017,12,1627
0201305,2018,1,2234
0201305,2018,2,1719
0201305,2018,3,1627
0201305,2018,4,1189
0201305,2018,5,634
0201305,2018,6,284
0201305,2018,7,148
0201305,2018,8,445
0201305,2018,9,642
0201305,2018,10,1115
0201305,2018,11,1629
0201305,2018,12,2005
0201305,2019,1,2117
0201305,2019,2,1588
0201305,2019,3,1328
0201305,2019,4,1057
0201305,2019,5,559
0201305,2019,6,140
0201305,2019,7,98
0201305,2019,8,398
0201305,2019,9,668
0201305,2019,10,1210
