grid_id,capacity_mw,fuel_type_code,fuel_type_name,year
11,0.1,DFO,Distillate Fuel Oil,2021
9,0.5,DFO,Distillate Fuel Oil,2021
7,0.6,DFO,Distillate Fuel Oil,2021
4,0.4,DFO,Distillate Fuel Oil,2021
3,0.9,DFO,Distillate Fuel Oil,2021
2,1.5,DFO,Distillate Fuel Oil,2021
1,0.3,DFO,Distillate Fuel Oil,2021
215,11.5,LFG,Landfill Gas,2021
225,1.0,MWH,Electricity used for Energy Storage,2021
223,5.0,MWH,Electricity used for Energy Storage,2021
215,89.5,MWH,Electricity used for Energy Storage,2021
191,0.3,MWH,Electricity used for Energy Storage,2021
176,0.3,MWH,Electricity used for Energy Storage,2021
149,0.2,MWH,Electricity used for Energy Storage,2021
138,0.3,MWH,Electricity used for Energy Storage,2021
135,1.2,MWH,Electricity used for Energy Storage,2021
130,0.3,MWH,Electricity used for Energy Storage,2021
121,0.1,MWH,Electricity used for Energy Storage,2021
120,0.3,MWH,Electricity used for Energy Storage,2021
99,0.3,MWH,Electricity used for Energy Storage,2021
14,1.0,MWH,Electricity used for Energy Storage,2021
224,33.2,NG,Natural Gas,2021
221,20.3,NG,Natural Gas,2021
215,1403.7,NG,Natural Gas,2021
163,2.2,NG,Natural Gas,2021
215,1.9,SUN,Solar,2021
149,0.2,SUN,Solar,2021
141,0.0,SUN,Solar,2021
135,0.8,SUN,Solar,2021
130,0.0,SUN,Solar,2021
120,0.1,SUN,Solar,2021
99,0.0,SUN,Solar,2021
67,0.0,SUN,Solar,2021
54,0.0,SUN,Solar,2021
9,0.0,SUN,Solar,2021
225,5.2,WAT,Water at Hydroelectric Turbine,2021
223,33.6,WAT,Water at Hydroelectric Turbine,2021
222,106.6,WAT,Water at Hydroelectric Turbine,2021
219,34.5,WAT,Water at Hydroelectric Turbine,2021
217,63.3,WAT,Water at Hydroelectric Turbine,2021
216,18.5,WAT,Water at Hydroelectric Turbine,2021
215,191.6,WAT,Water at Hydroelectric Turbine,2021
189,0.2,WAT,Water at Hydroelectric Turbine,2021
172,1.4,WAT,Water at Hydroelectric Turbine,2021
170,0.1,WAT,Water at Hydroelectric Turbine,2021
139,0.5,WAT,Water at Hydroelectric Turbine,2021
131,1.2,WAT,Water at Hydroelectric Turbine,2021
129,0.5,WAT,Water at Hydroelectric Turbine,2021
128,0.5,WAT,Water at Hydroelectric Turbine,2021
123,0.8,WAT,Water at Hydroelectric Turbine,2021
121,0.0,WAT,Water at Hydroelectric Turbine,2021
118,0.8,WAT,Water at Hydroelectric Turbine,2021
104,0.1,WAT,Water at Hydroelectric Turbine,2021
95,0.3,WAT,Water at Hydroelectric Turbine,2021
32,9.8,WAT,Water at Hydroelectric Turbine,2021
23,11.5,WAT,Water at Hydroelectric Turbine,2021
14,7.2,WAT,Water at Hydroelectric Turbine,2021
4,0.1,WAT,Water at Hydroelectric Turbine,2021
195,0.2,WH,Waste Heat,2021
223,9.0,WND,Wind,2021
215,44.5,WND,Wind,2021
194,0.6,WND,Wind,2021
191,0.5,WND,Wind,2021
187,1.0,WND,Wind,2021
180,0.2,WND,Wind,2021
179,0.1,WND,Wind,2021
176,0.5,WND,Wind,2021
173,0.2,WND,Wind,2021
159,1.8,WND,Wind,2021
155,0.0,WND,Wind,2021
154,0.3,WND,Wind,2021
138,0.5,WND,Wind,2021
135,3.3,WND,Wind,2021
134,0.2,WND,Wind,2021
132,0.6,WND,Wind,2021
130,0.1,WND,Wind,2021
102,0.2,WND,Wind,2021
99,0.2,WND,Wind,2021
88,0.1,WND,Wind,2021
80,0.2,WND,Wind,2021
78,0.3,WND,Wind,2021
76,0.2,WND,Wind,2021
75,0.9,WND,Wind,2021
71,0.3,WND,Wind,2021
62,0.2,WND,Wind,2021
55,0.3,WND,Wind,2021
50,0.3,WND,Wind,2021
46,0.3,WND,Wind,2021
45,0.4,WND,Wind,2021
40,0.4,WND,Wind,2021
34,0.9,WND,Wind,2021
216,5.3,WO,Waste Oil,2021
215,60.0,WO,Waste Oil,2021
