community_fips_code,residents_employed,unemployment_insurance_claimants,measurement_year
0213340,122,32,2001
0213340,94,17,2016
0213340,94,17,2015
0213340,97,19,2014
0213340,102,35,2013
0213340,108,34,2012
0213340,115,37,2011
0213340,114,35,2010
0213340,124,40,2009
0213340,113,29,2008
0213340,122,32,2007
0213340,133,32,2006
0213340,142,29,2005
0213340,138,36,2004
0213450,7,3,2010
0213450,5,1,2009
0213450,5,2,2007
0213450,5,2,2002
0213450,5,2,2012
0213450,5,2,2013
0213450,7,4,2011
0213550,38,11,2014
0213550,48,13,2001
0213550,56,16,2002
0213550,56,17,2003
0213550,57,15,2004
0213550,52,12,2005
0213550,52,11,2006
0213550,43,10,2007
0213550,37,7,2008
0213550,39,4,2009
0213550,40,6,2010
0213550,36,6,2011
0213550,33,5,2012
0213550,38,5,2016
0213550,38,5,2015
0213550,38,9,2013
0213670,37,2,2005
0213670,53,8,2001
0213670,42,9,2002
0213670,36,9,2003
0213670,32,4,2004
0213670,30,3,2006
0213670,27,2,2007
0213670,30,1,2008
0213670,36,1,2009
0213670,29,3,2010
0213670,33,3,2011
0213670,29,1,2012
0213670,23,1,2013
0213670,25,2,2014
0213670,29,3,2015
0213670,29,3,2016
0213780,45,11,2016
0213780,41,13,2009
0213780,44,9,2014
0213780,50,14,2008
0213780,65,13,2007
0213780,55,11,2006
0213780,45,11,2015
0213780,57,3,2005
0213780,55,11,2004
0213780,55,7,2003
0213780,66,9,2001
0213780,45,13,2013
0213780,44,15,2012
0213780,44,8,2011
0213780,51,8,2010
0213780,52,5,2002
0213860,35,14,2002
0213860,30,2,2016
0213860,36,14,2003
0213860,37,12,2004
0213860,40,18,2001
0213860,43,10,2005
0213860,35,9,2006
0213860,34,6,2007
0213860,27,10,2008
0213860,26,13,2009
0213860,22,12,2010
0213860,23,10,2011
0213860,24,6,2012
0213860,31,9,2013
0213860,26,5,2014
0213860,30,2,2015
0214000,49,19,2011
0214000,38,9,2016
0214000,34,7,2001
0214000,32,6,2002
0214000,32,9,2003
0214000,37,10,2004
0214000,41,6,2005
0214000,41,11,2006
0214000,42,12,2007
0214000,38,11,2008
0214000,40,9,2009
0214000,43,13,2010
0214000,46,22,2012
0214000,46,15,2013
0214000,35,11,2014
0214000,38,9,2015
0214110,48,17,2004
0214110,48,16,2005
0214110,60,27,2006
0214110,60,39,2007
0214110,64,33,2008
0214110,56,32,2009
0214110,51,24,2010
0214110,54,30,2011
0214110,57,28,2012
0214110,47,25,2013
0214110,40,18,2014
0214110,35,15,2015
0214110,56,27,2003
0214110,53,25,2002
0214110,34,20,2001
0214110,35,15,2016
0214330,57,15,2015
0214330,58,16,2001
0214330,45,8,2002
0214330,52,18,2003
0214330,53,24,2004
0214330,53,16,2005
0214330,50,11,2006
0214330,46,15,2007
0214330,57,15,2016
